_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67b0c4b16de0b0fec4670343,,26.37,84.38,51.14,73.67,33;5;0;2,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1739637937000
67b0c49f6de0b0fec4670279,,28.8,84.85,52.79,68.08,36;5;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1739637919000
67b0c48c6de0b0fec46701c3,,53.57,97.18,56.76,70.66,67;1;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1739637900000
67aa5086c60cdb1842afeffb,,51.2,97.1,55.2,67.47,64;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1739214982000
67aa5074c60cdb1842afeef9,,31.2,79.71,55.2,76.45,39;9;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1739214964000
67aa5061c60cdb1842afedc5,,30.39,77.27,51.98,67.02,38;8;2;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1739214945000
67a50e508049ddd215c4c95e,,41.6,90.77,52,73.8,52;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1738870352000
67a50e3f8049ddd215c4c866,,43.97,86.49,59.16,73.87,55;6;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738870335000
67a50e2d8049ddd215c4c750,,36,83.56,58.39,64.13,45;7;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1738870317000
67a50e1a8049ddd215c4c62e,,29.59,84.75,47.18,39.88,37;3;4;0,time,15,-1,0,15.01,1,0,false,false,english,none,normal,false,false,false,,1738870298000
67a50b448049ddd215c496c6,,48.76,90.79,60.75,74.55,61;3;1;0,time,15,-1,2,15.01,0,4.67,false,false,english,none,normal,false,false,false,,1738869572000
67a50b288049ddd215c494de,,46.37,95.52,53.56,77.07,58;1;1;0,time,15,-1,1,15.01,0,6.53,false,false,english,none,normal,false,false,false,,1738869544000
67a50aed8049ddd215c490ea,,49.6,97.01,53.6,68.48,62;1;0;0,time,15,-1,5,15,0,31.25,false,false,english,none,normal,false,false,false,,1738869485000
67a50a9d8049ddd215c48bbe,,53.57,94.94,63.16,77.57,67;2;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738869405000
67a3947f8049ddd215b21cac,,31.97,81.82,52.75,72.73,40;7;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738773631000
67a3946e8049ddd215b21b86,,43.98,89.71,54.37,73.45,55;5;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738773614000
67a3945c8049ddd215b21a41,,41.58,83.54,63.17,73.63,52;8;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738773596000
67a3944b8049ddd215b21908,,33.59,82.54,50.38,67.24,42;6;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1738773579000
